TIME,CHAN1
1875.0,0.30625
1877.5,-0.003125
1880.0,-0.003125
1882.5,0.00625
1885.0,-0.003125
1887.5,0.003125
1890.0,0.003125
1892.5,-0.003125
1895.0,-0.00625
1897.5,0.00625
1900.0,-0.00625
1902.5,0.303125
1905.0,0.296875
1907.5,0.30625
1910.0,0.296875
1912.5,0.30625
1915.0,0.30625
1917.5,0.296875
1920.0,0.30625
1922.5,0.296875
1925.0,0.30625
1927.5,-0.003125
1930.0,0.00625
1932.5,-0.003125
1935.0,-0.003125
1937.5,0.00625
1940.0,0.003125
1942.5,-0.003125
1945.0,0.00625
1947.5,-0.00625
1950.0,-0.00625
1952.5,0.303125
1955.0,0.296875
1957.5,0.30625
1960.0,0.30625
1962.5,0.296875
1965.0,0.30625
1967.5,0.296875
1970.0,0.30625
1972.5,0.296875
1975.0,0.309375
1977.5,-0.003125
1980.0,0.00625
1982.5,-0.003125
1985.0,-0.003125
1987.5,0.00625
1990.0,-0.003125
1992.5,0.00625
1995.0,0.003125
1997.5,-0.00625
2000.0,-0.00625
2002.5,0.30625
2005.0,0.296875
2007.5,0.30625
2010.0,0.296875
2012.5,0.30625
2015.0,0.30625
2017.5,0.296875
2020.0,0.30625
2022.5,0.296875
2025.0,0.30625
2027.5,-0.003125
2030.0,-0.003125
2032.5,0.00625
2035.0,-0.003125
2037.5,0.00625
2040.0,-0.003125
2042.5,0.00625
2045.0,-0.003125
2047.5,0.00625
2050.0,-0.00625
2052.5,0.30625
2055.0,0.296875
2057.5,0.30625
2060.0,0.296875
2062.5,0.30625
2065.0,0.30625
2067.5,0.296875
2070.0,0.30625
2072.5,0.296875
2075.0,0.30625
2077.5,-0.003125
2080.0,-0.003125
2082.5,0.00625
2085.0,-0.003125
2087.5,0.00625
2090.0,0.003125
2092.5,-0.00625
2095.0,-0.00625
2097.5,0.00625
2100.0,-0.003125
2102.5,0.303125
2105.0,0.296875
2107.5,0.30625
2110.0,0.296875
2112.5,0.30625
2115.0,0.30625
2117.5,0.296875
2120.0,0.30625
2122.5,0.296875
2125.0,0.30625
2127.5,-0.003125
2130.0,0.00625
2132.5,-0.003125
2135.0,-0.003125
2137.5,0.00625
2140.0,-0.003125
2142.5,0.00625
2145.0,0.003125
2147.5,-0.003125
2150.0,-0.00625
2152.5,0.303125
2155.0,0.296875
2157.5,0.30625
2160.0,0.296875
2162.5,0.30625
2165.0,0.30625
2167.5,0.296875
2170.0,0.296875
2172.5,0.30625
2175.0,0.30625
2177.5,-0.003125
2180.0,0.00625
2182.5,-0.003125
2185.0,-0.003125
2187.5,0.00625
2190.0,0.003125
2192.5,-0.00625
2195.0,-0.003125
2197.5,0.003125
2200.0,-0.003125
2202.5,0.30625
2205.0,0.296875
2207.5,0.30625
2210.0,0.30625
2212.5,0.296875
2215.0,0.30625
2217.5,0.296875
2220.0,0.30625
2222.5,0.296875
2225.0,0.30625
2227.5,-0.003125
2230.0,-0.003125
2232.5,0.00625
2235.0,0.003125
2237.5,-0.003125
2240.0,0.003125
2242.5,-0.003125
2245.0,0.003125
2247.5,-0.00625
2250.0,-0.003125
2252.5,0.303125
2255.0,0.296875
2257.5,0.30625
2260.0,0.296875
2262.5,0.30625
2265.0,0.30625
2267.5,0.296875
2270.0,0.30625
2272.5,0.296875
2275.0,0.30625
2277.5,-0.003125
2280.0,-0.003125
2282.5,0.00625
2285.0,-0.003125
2287.5,0.00625
2290.0,-0.003125
2292.5,0.00625
2295.0,-0.003125
2297.5,0.00625
2300.0,-0.003125
2302.5,0.30625
2305.0,0.30625
2307.5,0.296875
2310.0,0.30625
2312.5,0.296875
2315.0,0.30625
2317.5,0.296875
2320.0,0.296875
2322.5,0.30625
2325.0,0.30625
2327.5,-0.003125
2330.0,-0.003125
2332.5,0.00625
2335.0,-0.003125
2337.5,0.00625
2340.0,-0.003125
2342.5,0.00625
2345.0,-0.003125
2347.5,0.00625
2350.0,-0.003125
2352.5,0.30625
2355.0,0.296875
2357.5,0.30625
2360.0,0.30625
2362.5,0.296875
2365.0,0.30625
2367.5,0.296875
2370.0,0.30625
2372.5,0.296875
2375.0,0.30625
2377.5,-0.003125
2380.0,-0.003125
2382.5,0.00625
2385.0,-0.003125
2387.5,0.00625
2390.0,-0.003125
2392.5,0.00625
2395.0,-0.003125
2397.5,0.003125
2400.0,-0.003125
2402.5,0.303125
2405.0,0.296875
2407.5,0.30625
2410.0,0.30625
2412.5,0.296875
2415.0,0.30625
2417.5,0.296875
2420.0,0.30625
2422.5,0.296875
2425.0,0.30625
2427.5,-0.003125
2430.0,0.00625
2432.5,-0.003125
2435.0,-0.003125
2437.5,0.00625
2440.0,0.00625
2442.5,-0.00625
2445.0,-0.00625
2447.5,0.003125
2450.0,-0.00625
2452.5,0.303125
2455.0,0.296875
2457.5,0.30625
2460.0,0.296875
2462.5,0.30625
2465.0,0.30625
2467.5,0.296875
2470.0,0.30625
2472.5,0.296875
2475.0,0.30625
2477.5,-0.003125
2480.0,-0.003125
2482.5,0.00625
2485.0,-0.003125
2487.5,0.00625
2490.0,0.003125
2492.5,-0.00625
2495.0,0.003125
2497.5,-0.003125
2500.0,-0.00625
2502.5,0.303125
2505.0,0.296875
2507.5,0.30625
2510.0,0.296875
2512.5,0.30625
2515.0,0.30625
2517.5,0.296875
2520.0,0.30625
2522.5,0.296875
2525.0,0.30625
2527.5,-0.003125
2530.0,0.00625
2532.5,-0.003125
2535.0,-0.003125
2537.5,0.00625
2540.0,0.003125
2542.5,-0.00625
2545.0,-0.003125
2547.5,0.00625
2550.0,-0.003125
2552.5,0.303125
2555.0,0.296875
2557.5,0.30625
2560.0,0.30625
2562.5,0.296875
2565.0,0.30625
2567.5,0.296875
2570.0,0.30625
2572.5,0.296875
2575.0,0.30625
2577.5,-0.003125
2580.0,-0.003125
2582.5,0.00625
2585.0,-0.003125
2587.5,0.00625
2590.0,-0.00625
2592.5,0.00625
2595.0,0.003125
2597.5,-0.00625
2600.0,-0.00625
2602.5,0.303125
2605.0,0.296875
2607.5,0.30625
2610.0,0.30625
2612.5,0.296875
2615.0,0.30625
2617.5,0.296875
2620.0,0.30625
2622.5,0.296875
2625.0,0.30625
2627.5,-0.003125
2630.0,-0.003125
2632.5,0.00625
2635.0,0.003125
2637.5,-0.003125
2640.0,-0.003125
2642.5,0.00625
2645.0,0.003125
2647.5,-0.003125
2650.0,-0.00625
2652.5,0.303125
2655.0,0.296875
2657.5,0.30625
2660.0,0.296875
2662.5,0.30625
2665.0,0.30625
2667.5,0.296875
2670.0,0.30625
2672.5,0.296875
2675.0,0.30625
2677.5,-0.003125
2680.0,0.00625
2682.5,-0.003125
2685.0,-0.003125
2687.5,0.00625
2690.0,-0.003125
2692.5,0.00625
2695.0,0.003125
2697.5,-0.003125
2700.0,-0.00625
2702.5,0.30625
2705.0,0.296875
2707.5,0.30625
2710.0,0.296875
2712.5,0.30625
2715.0,0.296875
2717.5,0.30625
2720.0,0.30625
2722.5,0.296875
2725.0,0.30625
2727.5,0.0
2730.0,0.00625
2732.5,-0.003125
2735.0,0.00625
2737.5,-0.003125
2740.0,-0.003125
2742.5,0.003125
2745.0,0.003125
2747.5,-0.003125
2750.0,-0.003125
2752.5,0.303125
2755.0,0.296875
2757.5,0.30625
2760.0,0.30625
2762.5,0.296875
2765.0,0.30625
2767.5,0.296875
2770.0,0.296875
2772.5,0.309375
2775.0,0.30625
2777.5,-0.003125
2780.0,0.00625
2782.5,-0.003125
2785.0,-0.003125
2787.5,0.00625
2790.0,0.003125
2792.5,-0.003125
2795.0,-0.003125
2797.5,0.00625
2800.0,-0.003125
2802.5,0.303125
2805.0,0.296875
2807.5,0.30625
2810.0,0.296875
2812.5,0.30625
2815.0,0.30625
2817.5,0.296875
2820.0,0.30625
2822.5,0.296875
2825.0,0.30625
2827.5,-0.003125
2830.0,-0.003125
2832.5,0.00625
2835.0,-0.003125
2837.5,0.00625
2840.0,-0.003125
2842.5,0.00625
2845.0,0.003125
2847.5,-0.003125
2850.0,-0.003125
2852.5,0.30625
2855.0,0.296875
2857.5,0.30625
2860.0,0.296875
2862.5,0.30625
2865.0,0.30625
2867.5,0.296875
2870.0,0.30625
2872.5,0.296875
2875.0,0.30625
2877.5,-0.003125
2880.0,-0.003125
2882.5,0.00625
2885.0,-0.003125
2887.5,0.00625
2890.0,-0.003125
2892.5,0.00625
2895.0,-0.003125
2897.5,0.003125
2900.0,-0.003125
2902.5,0.30625
2905.0,0.296875
2907.5,0.30625
2910.0,0.296875
2912.5,0.30625
2915.0,0.30625
2917.5,0.296875
2920.0,0.30625
2922.5,0.296875
2925.0,0.30625
2927.5,-0.003125
2930.0,-0.003125
2932.5,0.00625
2935.0,-0.003125
